set,experiment,system,code
batch,collisions,flink,139
batch,collisions,mpi,503
batch,collisions,noir,192
batch,connected-components,flink,97
batch,connected-components,mpi,85
batch,connected-components,noir,70
batch,enum-triangles,flink,159
batch,enum-triangles,mpi,204
batch,enum-triangles,noir,44
batch,kmeans,flink,158
batch,kmeans,mpi,222
batch,kmeans,noir,125
batch,pagerank-flink,flink,125
batch,pagerank-flink,noir,59
batch,pagerank-mpi,mpi,74
batch,pagerank-mpi,noir,58
batch,pagerank-timely,noir,50
batch,pagerank-timely,timely,73
batch,transitive-closure,flink,82
batch,transitive-closure,mpi,162
batch,transitive-closure,noir,39
batch,wc-opt,mpi,121
batch,wc-opt,noir,30
batch,wc-re,flink,26
batch,wc-re,mpi,138
batch,wc-re,noir,28
batch,wc-re,timely,93
single,collatz,noir,30
single,collatz,openmp,48
single,collatz,rayon,23
single,kmeans,noir,125
single,kmeans,openmp,142
single,kmeans,rayon,131
single,wc,noir,29
single,wc,openmp,84
single,wc,rayon,39
streaming,nexmark-common,flink,80
streaming,nexmark-common,noir,67
streaming,nexmark-common,timely,217
streaming,nexmark-q0,flink,11
streaming,nexmark-q0,noir,3
streaming,nexmark-q0,timely,7
streaming,nexmark-q1,flink,17
streaming,nexmark-q1,noir,9
streaming,nexmark-q1,timely,9
streaming,nexmark-q2,flink,8
streaming,nexmark-q2,noir,6
streaming,nexmark-q2,timely,11
streaming,nexmark-q3,flink,15
streaming,nexmark-q3,noir,23
streaming,nexmark-q3,timely,59
streaming,nexmark-q4,flink,21
streaming,nexmark-q4,noir,58
streaming,nexmark-q4,timely,125
streaming,nexmark-q5,flink,39
streaming,nexmark-q5,noir,20
streaming,nexmark-q5,timely,119
streaming,nexmark-q6,flink,17
streaming,nexmark-q6,noir,64
streaming,nexmark-q6,timely,128
streaming,nexmark-q7,flink,19
streaming,nexmark-q7,noir,17
streaming,nexmark-q7,timely,70
streaming,nexmark-q8,flink,24
streaming,nexmark-q8,noir,29
streaming,nexmark-q8,timely,65
